DATE,ZAFGFCEQDSMEI
1993-01-01,20508331220.0
1993-04-01,21411578652.5
1993-07-01,22263604267.5
1993-10-01,22975380020.0
1994-01-01,23854603155.0
1994-04-01,24573844937.5
1994-07-01,25216320650.0
1994-10-01,25501415375.0
1995-01-01,25432595450.0
1995-04-01,25552475825.0
1995-07-01,25735668075.0
1995-10-01,26225646925.0
1996-01-01,28010550350.0
1996-04-01,30278682575.0
1996-07-01,31304817450.0
1996-10-01,32693350799.999996
1997-01-01,33388370000.0
1997-04-01,33604778475.000004
1997-07-01,34296255500.0
1997-10-01,34910127000.0
1998-01-01,35212634400.0
1998-04-01,36012322850.0
1998-07-01,36557856450.0
1998-10-01,36837816675.0
1999-01-01,37462236525.0
1999-04-01,38330367800.0
1999-07-01,39337134400.0
1999-10-01,40483738825.0
2000-01-01,41771508225.0
2000-04-01,42692662000.0
2000-07-01,44533721125.0
2000-10-01,45477755250.0
2001-01-01,46205187075.0
2001-04-01,47583691500.0
2001-07-01,49197402350.0
2001-10-01,50814626325.0
2002-01-01,53449145500.0
2002-04-01,56055531300.0
2002-07-01,59071888875.0
2002-10-01,59750696575.0
2003-01-01,61075343850.0
2003-04-01,60836324650.0
2003-07-01,63457538700.0
2003-10-01,66006275450.00001
2004-01-01,67147239500.0
2004-04-01,69352133275.0
2004-07-01,70686888075.0
2004-10-01,73800886800.0
2005-01-01,72813749075.0
2005-04-01,72724812625.0
2005-07-01,74068085750.0
2005-10-01,75428411225.0
2006-01-01,78543542325.0
2006-04-01,81561823050.0
2006-07-01,82430346075.0
2006-10-01,83813916825.0
2007-01-01,89671644475.0
2007-04-01,89900987075.0
2007-07-01,94362316050.0
2007-10-01,98865532775.0
2008-01-01,104862965425.0
2008-04-01,107948138625.0
2008-07-01,115686531875.0
2008-10-01,117371830425.0
2009-01-01,119972663150.0
2009-04-01,124223907300.0
2009-07-01,122949366325.0
2009-10-01,130048815574.99998
2010-01-01,136354944025.00002
2010-04-01,134092859825.0
2010-07-01,137477047875.0
2010-10-01,141965243525.0
2011-01-01,142945976325.0
2011-04-01,151252528700.0
2011-07-01,154521633725.0
2011-10-01,156640829400.0
2012-01-01,161133042350.0
2012-04-01,165569398275.0
2012-07-01,170314551425.0
2012-10-01,174196117700.0
2013-01-01,179528891500.0
2013-04-01,183131173975.0
2013-07-01,186035576550.0
2013-10-01,189492178200.0
2014-01-01,195490091150.0
2014-04-01,197970782275.0
2014-07-01,201200086750.0
2014-10-01,203757863125.0
2015-01-01,203893211100.0
2015-04-01,206631510850.0
2015-07-01,212198071700.0
2015-10-01,216567820525.0
2016-01-01,222642431675.0
2016-04-01,229451329200.0
2016-07-01,232074614550.0
2016-10-01,234785552725.0
2017-01-01,238539633125.0
2017-04-01,242877309325.0
2017-07-01,246004296300.0
2017-10-01,249423291850.0
2018-01-01,251522195500.0
2018-04-01,258478605250.0
2018-07-01,261824745749.99997
2018-10-01,266035596000.0
2019-01-01,269326050749.99997
2019-04-01,273114895750.00003
2019-07-01,277078074000.0
2019-10-01,279499436500.0
2020-01-01,284013506500.0
2020-04-01,279146192750.0
2020-07-01,286014597000.0
2020-10-01,290937115750.0
2021-01-01,296310499000.0
2021-04-01,292930726250.0
2021-07-01,301027247250.0
2021-10-01,309331929250.0
