DATE,INTDSRZAM193N
1960-01-01,3.7200000000000002
1960-04-01,4
1960-07-01,4.5
1960-10-01,4.5
1961-01-01,4.5
1961-04-01,5
1961-07-01,5
1961-10-01,4.5
1962-01-01,4.5
1962-04-01,3.1499999989999998
1962-07-01,2.7099999989999999
1962-10-01,2.349999999
1963-01-01,2.5299999990000002
1963-04-01,2.6699999989999998
1963-07-01,2.349999999
1963-10-01,2.4599999989999999
1964-01-01,3.1299999989999998
1964-04-01,3.5
1964-07-01,4
1964-10-01,4.5
1965-01-01,5
1965-04-01,5
1965-07-01,5
1965-10-01,5
1966-01-01,5
1966-04-01,5
1966-07-01,6
1966-10-01,6
1967-01-01,6
1967-04-01,6
1967-07-01,6
1967-10-01,6
1968-01-01,6
1968-04-01,6
1968-07-01,5.5
1968-10-01,5.5
1969-01-01,5.5
1969-04-01,5.5
1969-07-01,5.5
1969-10-01,5.5
1970-01-01,5.5
1970-04-01,5.5
1970-07-01,5.5
1970-10-01,5.5
1971-01-01,6.5
1971-04-01,6.5
1971-07-01,6.5
1971-10-01,6.5
1972-01-01,6.5
1972-04-01,6.5
1972-07-01,6
1972-10-01,6
1973-01-01,5.5
1973-04-01,5.5
1973-07-01,3.1499999989999998
1973-10-01,3.7799999990000002
1974-01-01,5.3199999990000002
1974-04-01,6.2199999999999998
1974-07-01,6.6799999989999996
1974-10-01,6.4799999990000003
1975-01-01,6.4499999990000001
1975-04-01,6.0499999989999997
1975-07-01,7.1399999989999996
1975-10-01,7.4199999989999998
1976-01-01,7.7799999990000002
1976-04-01,7.8399999989999998
1976-07-01,8.2599999999999998
1976-10-01,8.2799999999999994
1977-01-01,8.3900000000000006
1977-04-01,8.3599999989999993
1977-07-01,8.4199999999999999
1977-10-01,8.4100000000000001
1978-01-01,8.5
1978-04-01,8.5
1978-07-01,8.1600000000000001
1978-10-01,7.869999999
1979-01-01,6.5499999989999997
1979-04-01,5.8399999989999998
1979-07-01,4.8799999989999998
1979-10-01,4.6999999990000001
1980-01-01,4.7799999990000002
1980-04-01,5.0800000000000001
1980-07-01,5.2199999999999998
1980-10-01,6.539999999
1981-01-01,8.1799999989999996
1981-04-01,10.5
1981-07-01,11.829999999
1981-10-01,14.539999999999999
1982-01-01,16.339999999
1982-04-01,16.760000000000002
1982-07-01,16.599999999000001
1982-10-01,14.349999999
1983-01-01,12.239999999
1983-04-01,13.989999999
1983-07-01,16
1983-10-01,17.75
1984-01-01,17.75
1984-04-01,17.75
1984-07-01,21.75
1984-10-01,20.75
1985-01-01,21.75
1985-04-01,18.75
1985-07-01,15
1985-10-01,13
1986-01-01,12
1986-04-01,11
1986-07-01,10
1986-10-01,9.5
1987-01-01,9.5
1987-04-01,9.5
1987-07-01,9.5
1987-10-01,9.5
1988-01-01,10.5
1988-04-01,11.5
1988-07-01,12.5
1988-10-01,14.5
1989-01-01,14.5
1989-04-01,17
1989-07-01,17
1989-10-01,18
1990-01-01,18
1990-04-01,18
1990-07-01,18
1990-10-01,18
1991-01-01,17
1991-04-01,17
1991-07-01,17
1991-10-01,17
1992-01-01,16
1992-04-01,15
1992-07-01,15
1992-10-01,14
1993-01-01,13
1993-04-01,13
1993-07-01,13
1993-10-01,12
1994-01-01,12
1994-04-01,12
1994-07-01,13
1994-10-01,13
1995-01-01,14
1995-04-01,15
1995-07-01,15
1995-10-01,15
1996-01-01,15
1996-04-01,16
1996-07-01,16
1996-10-01,17
1997-01-01,17
1997-04-01,17
1997-07-01,17
1997-10-01,16
1998-01-01,15
1998-04-01,20.210000000000001
1998-07-01,21.850000000000001
1998-10-01,19.32
1999-01-01,16.5
1999-04-01,14.91
1999-07-01,12.4
1999-10-01,12
2000-01-01,11.75
2000-04-01,11.75
2000-07-01,11.75
2000-10-01,12
2001-01-01,12
2001-04-01,11
2001-07-01,9.5
2001-10-01,9.5
2002-01-01,11.5
2002-04-01,12.5
2002-07-01,13.5
2002-10-01,13.5
2003-01-01,13.5
2003-04-01,12
2003-07-01,10
2003-10-01,8
2004-01-01,8
2004-04-01,8
2004-07-01,7.5
2004-10-01,7.5
2005-01-01,7.5
2005-04-01,7
2005-07-01,7
2005-10-01,7
2006-01-01,7
2006-04-01,7.5
2006-07-01,8
2006-10-01,9
2007-01-01,9
2007-04-01,9.5
2007-07-01,10
2007-10-01,11
2008-01-01,11
2008-04-01,12
2008-07-01,12
2008-10-01,11.5
2009-01-01,9.5
2009-04-01,7.5
2009-07-01,7
2009-10-01,7
2010-01-01,6.5
2010-04-01,6.5
2010-07-01,6
2010-10-01,5.5
2011-01-01,5.5
2011-04-01,5.5
2011-07-01,5.5
2011-10-01,5.5
2012-01-01,5.5
2012-04-01,5.5
2012-07-01,5
2012-10-01,5
2013-01-01,5
