"","year","quarter","Real_interest_rate","seasonally_adjusted","seasonally_differenced"
"1",1960,1,4.70333052252771,4.7531861805297,0.1
"2",1960,2,4.8533222952406,4.85533641787891,0.102150237349206
"3",1960,3,5.33333060578847,5.21891651271366,0.363580094834747
"4",1960,4,5.5,5.56254424389925,0.343627731185594
"5",1961,1,5.4999973081381,5.54985296614009,-0.0126912777591555
"6",1961,2,5.83332275759918,5.83533688023749,0.285483914097398
"7",1961,3,5.99999737743497,5.88558328436015,0.050246404122662
"8",1961,4,5.83333333333333,5.89587757723258,0.0102942928724286
"9",1962,1,5.49999738590852,5.54985304391051,-0.346024533322071
"10",1962,2,4.70333076033319,4.7053448829715,-0.844508160939013
"11",1962,3,3.79333333266667,3.67891923959185,-1.02642564337965
"12",1962,4,3.42665642564919,3.48920066954844,-0.189718570043411
"13",1963,1,3.46666413443187,3.51651979243386,0.027319122885423
"14",1963,2,3.60666413476521,3.60867825740352,0.0921584649696565
"15",1963,3,3.54999750790247,3.43558341482765,-0.173094842575868
"16",1963,4,3.32666666633333,3.38921091023258,-0.0463725045950683
"17",1964,1,3.98664438064746,4.03650003864945,0.647289128416868
"18",1964,2,4.35999757755508,4.36201170019339,0.32551166154394
"19",1964,3,4.99997873088364,4.88556463780883,0.523552937615436
"20",1964,4,5.16664597409789,5.22919021799714,0.343625580188308
"21",1965,1,5.6666644019692,5.7165200599712,0.48732984197406
"22",1965,2,5.9999977756527,6.00201189829102,0.28549183831982
"23",1965,3,5.99999127263206,5.88557717955725,-0.116434718733767
"24",1965,4,5.99999140013043,6.06253564402968,0.176958464472432
"25",1966,1,5.99999157398637,6.04984723198836,-0.0126884120413226
"26",1966,2,5.99999790870267,6.00201203134099,-0.0478352006473726
"27",1966,3,6.99992610807105,6.88551201499623,0.883499983655248
"28",1966,4,6.99999800785734,7.06254225175659,0.177030236760359
"29",1967,1,6.99999213168929,7.04984778969128,-0.0126944620653084
"30",1967,2,6.9999922839407,7.00200640657901,-0.0478413831122761
"31",1967,3,6.99999811055549,6.88558401748068,-0.116422389098332
"32",1967,4,7,7.06254424389925,0.176960226418574
"33",1968,1,6.99999245259285,7.04984811059484,-0.0126961333044102
"34",1968,2,6.99999813626193,7.00201225890024,-0.0478358516945976
"35",1968,3,6.66665934227357,6.55224524919875,-0.449767009701488
"36",1968,4,6.49999277372236,6.56253701762161,0.0102917684228601
"37",1969,1,6.49998397860253,6.54983963660452,-0.0126973810170901
"38",1969,2,6.49999825725096,6.50201237988928,-0.0478272567152489
"39",1969,3,6.49999309297262,6.3855789998978,-0.116433379991473
"40",1969,4,6.49998484003074,6.56252908392999,0.176950084032189
"41",1970,1,6.5,6.54985565800199,-0.0126734259280008
"42",1970,2,6.5,6.50201412263831,-0.047841535363677
"43",1970,3,6.49984177423819,6.38542768116338,-0.116586441474936
"44",1970,4,6.5,6.56254424389925,0.177116562735873
"45",1971,1,6.83317901433022,6.88303467233221,0.320490428432959
"46",1971,2,7.5,7.50201412263831,0.618979450306105
"47",1971,3,7.49985657084801,7.3854424777732,-0.116571644865116
"48",1971,4,7.5,7.56254424389925,0.177101766126053
"49",1972,1,7.5,7.54985565800199,-0.0126885858972594
"50",1972,2,7.5,7.50201412263831,-0.047841535363677
"51",1972,3,7.16654182402041,7.0521277309456,-0.449886391692718
"52",1972,4,7,7.06254424389925,0.0104165129536549
"53",1973,1,6.83321645742632,6.88307211542831,-0.179472128470938
"54",1973,2,6.5,6.50201412263831,-0.381057992789998
"55",1973,3,5.71666666633333,5.60225257325852,-0.899761549379796
"56",1973,4,4.406666666,4.46921090989925,-1.13304166335927
"57",1974,1,6.21990481638377,6.26976047438576,1.80054956448651
"58",1974,2,6.60297731296672,6.60499143560504,0.335230961219277
"59",1974,3,7.62633606927276,7.51192197619794,0.906930540592906
"60",1974,4,7.5399223718046,7.60246661570385,0.0905446395059117
"61",1975,1,7.42326090049471,7.4731165584967,-0.129350057207153
"62",1975,2,7.13993112920518,7.14194525184349,-0.331171306653211
"63",1975,3,7.69993548321783,7.58552139014301,0.44357613829952
"64",1975,4,8.36660515023398,8.42914939413323,0.843628003990221
"65",1976,1,8.6464299702723,8.69628562827429,0.267136234141061
"66",1976,2,8.76661138676156,8.76862550939987,0.0723398811255791
"67",1976,3,9.25312629723454,9.13871220415972,0.370086694759848
"68",1976,4,9.23994934098589,9.30249358488514,0.163781380725423
"69",1977,1,9.3699521071375,9.41980776513949,0.117314180254349
"70",1977,2,9.34666666566667,9.34868078830498,-0.0711269768345115
"71",1977,3,9.39662422559786,9.28221013252304,-0.0664706557819379
"72",1977,4,9.40995917048026,9.47250341437951,0.190293281856464
"73",1978,1,9.46999999933333,9.51985565733532,0.0473522429558173
"74",1978,2,9.48333333266667,9.48534745530498,-0.0345082020303416
"75",1978,3,9.26653145506572,9.1521173619909,-0.333230093314079
"76",1978,4,8.90333333233333,8.96587757623258,-0.186239785758321
"77",1979,1,8.18654320633622,8.23639886433821,-0.729478711894373
"78",1979,2,6.92330395553529,6.92531807817361,-1.3110807861646
"79",1979,3,6.10322920724439,5.98881511416957,-0.936502964004035
"80",1979,4,5.46664179042968,5.52918603432893,-0.459629079840647
"81",1980,1,5.74657054758211,5.7964262055841,0.267240171255171
"82",1980,2,6.02979687918209,6.0318110018204,0.235384796236304
"83",1980,3,6.04647986165158,5.93206576857677,-0.0997452332436337
"84",1980,4,7.02983059952624,7.09237484342549,1.16030907484872
"85",1981,1,8.79992878449598,8.84978444249797,1.75740959907248
"86",1981,2,10.3732650308769,10.3752791535153,1.52549471101729
"87",1981,3,12.7862806618271,12.6718665687523,2.29658741523706
"88",1981,4,14.2766092740148,14.3391535179141,1.66728694916177
"89",1982,1,16.9429916442931,16.9928473022951,2.65369378438103
"90",1982,2,17.5066163662976,17.5086304889359,0.5157831866408
"91",1982,3,17.5798097435979,17.4653956505231,-0.0432348384128467
"92",1982,4,15.9532891823854,16.0158334262846,-1.44956222423843
"93",1983,1,12.703165755047,12.753021413049,-3.26281201323564
"94",1983,2,13.8899900789638,13.8920042016021,1.13898278855307
"95",1983,3,16.5065817192687,16.3921676261939,2.50016342459179
"96",1983,4,17.8532972603417,17.9158415042409,1.52367387804704
"97",1984,1,18.7498615885026,18.7997172465046,0.883875742263697
"98",1984,2,18.7499279773849,18.7519421000232,-0.0477751464813885
"99",1984,3,21.7499318856511,21.6355177925763,2.88357569255312
"100",1984,4,22.0832695029802,22.1458137468795,0.510295954303146
"101",1985,1,22.7496819174964,22.7995375754984,0.653723828618922
"102",1985,2,21.0831849707371,21.0851990933754,-1.71433848212297
"103",1985,3,17.2498599456122,17.1354458525374,-3.94975324083804
"104",1985,4,14.3330807977775,14.3956250416768,-2.73982081086063
"105",1986,1,12.9998851198411,13.049740777843,-1.3458842638337
"106",1986,2,12.3332945135831,12.3353086362215,-0.714432141621597
"107",1986,3,11.4997470339066,11.3853329408318,-0.949975695389657
"108",1986,4,10.8332022192276,10.8957464631269,-0.489586477704915
"109",1987,1,10.499783729229,10.5496393872309,-0.34610707589594
"110",1987,2,10.4999215455116,10.5019356681499,-0.0477037190810492
"111",1987,3,10.4997620857152,10.3853479926404,-0.116587675509534
"112",1987,4,10.4999313579211,10.5624756018203,0.177127609179969
"113",1988,1,10.8332048249507,10.8830604829527,0.320584881132328
"114",1988,2,12.1666272351055,12.1686413577438,1.28558087479114
"115",1988,3,13.4998512753142,13.3854371822394,1.21679582449556
"116",1988,4,14.8332550176428,14.895799261542,1.51036207930268
"117",1989,1,15.499835395546,15.549691053548,0.653891792005965
"118",1989,2,17.66651528708,17.6685294097183,2.11883835617032
"119",1989,3,17.999888314627,17.8854742215522,0.216944811833866
"120",1989,4,18.9998356299482,19.0623798738475,1.17690565229527
"121",1990,1,18.9998757750163,19.0497314330183,-0.0126484408291851
"122",1990,2,18.9999294673864,19.0019435900247,-0.0477878429935537
"123",1990,3,18.999734980182,18.8853208871072,-0.1166227029175
"124",1990,4,18.9998202249435,19.0623644688428,0.17704358173555
"125",1991,1,18.6665497907597,18.7164054487616,-0.345959020081118
"126",1991,2,17.9998914910932,18.0019056137315,-0.714499835030111
"127",1991,3,17.9998016201025,17.8853875270276,-0.116518086703888
"128",1991,4,17.9998429919722,18.0623872358715,0.176999708843812
"129",1992,1,17.6665961152442,17.7164517732461,-0.34593546262532
"130",1992,2,16.666584469864,16.6685985925023,-1.04785318074387
"131",1992,3,15.9999223728046,15.8855082797298,-0.783090312772481
"132",1992,4,15.3333265339464,15.3958707778457,-0.489637501884127
"133",1993,1,14.333260405806,14.383116063808,-1.01275471403764
"134",1993,2,13.9999832171522,14.0019973397905,-0.381118724017506
"135",1993,3,13.9999837801163,13.8855696870415,-0.116427652748998
"136",1993,4,12.9999943175388,13.062538561438,-0.823031125603496
"137",1994,1,12.9999781979253,13.0498338559273,-0.0127047055107443
"138",1994,2,12.9999625917671,13.0019767144054,-0.0478571415218951
"139",1994,3,13.3331568599576,13.2187427668828,0.216766052477441
"140",1994,4,13.9999916226916,14.0625358665909,0.843793099708039
"141",1995,1,14.6666060191745,14.7164616771765,0.653925810585616
"142",1995,2,15.3333314255766,15.3353455482149,0.618883871038387
"143",1995,3,15.9999957749231,15.8855816818483,0.55023613363343
"144",1995,4,15.9999704629926,16.0625147068918,0.176933025043542
"145",1996,1,15.9999783522251,16.0498340102271,-0.0126806966647202
"146",1996,2,16.9999388846707,17.001953007309,0.9521189970819
"147",1996,3,16.9999415792113,16.8855274861365,-0.116425521172548
"148",1996,4,17.6666197823809,17.7291640262802,0.843636540143706
"149",1997,1,17.9999632688293,18.0498189268313,0.32065490055113
"150",1997,2,17.9999911370024,18.0020052596407,-0.0478136671906348
"151",1997,3,17.9999914051721,17.8855773120973,-0.116427947543354
"152",1997,4,17,17.0625442438993,-0.823033068198068
"153",1998,1,16.6666455277363,16.7165011857383,-0.346043058160927
"154",1998,2,18.7133176129991,18.7153317356375,1.99883054989914
"155",1998,3,22.6831330047668,22.568718911692,3.85338717605451
"156",1998,4,20.9233333333333,20.9858775772326,-1.5828413344594
"157",1999,1,18.5633333333333,18.6131889913353,-2.37268858589726
"158",1999,2,16.3433288683579,16.3453429909962,-2.26784600033915
"159",1999,3,14.1633333333333,14.0489192402585,-2.29642375073765
"160",1999,4,13.0633264840297,13.1258707279289,-0.923048512329588
"161",2000,1,12.7499869603657,12.7998426183676,-0.326028109561287
"162",2000,2,12.7499746716966,12.751988794335,-0.0478538240326856
"163",2000,3,12.7499802370903,12.6355661440154,-0.116422650319512
"164",2000,4,12.9999940191045,13.0625382630038,0.42697211898834
"165",2001,1,12.9999769746502,13.0498326326522,-0.0127056303516326
"166",2001,2,12.6666485503063,12.6686626729446,-0.381169959707549
"167",2001,3,11.4999997776058,11.385585684531,-1.28307698841362
"168",2001,4,10.4999733921847,10.562517636084,-0.823068048446993
"169",2002,1,11.8332126544165,11.8830683124185,1.32055067633448
"170",2002,2,12.8332885614149,12.8353026840532,0.952234371634738
"171",2002,3,13.8332833566665,13.7188692635917,0.883566579538458
"172",2002,4,14.4999572441826,14.5625014880818,0.843632224490181
"173",2003,1,14.4999943562407,14.5498500142427,-0.0126514738391155
"174",2003,2,13.9999991750042,14.0020132976426,-0.547836716600175
"175",2003,3,11.9999946357473,11.8855805426725,-2.11643275497003
"176",2003,4,9.33329535475423,9.39583959865348,-2.48974094401904
"177",2004,1,8.99998475346414,9.04984041146612,-0.345999187187356
"178",2004,2,8.99999975694558,9.0020138795839,-0.0478265318822277
"179",2004,3,8.66666592414392,8.5522518310691,-0.449762048514796
"180",2004,4,8.4999951542906,8.56253939818985,0.0102875671207503
"181",2005,1,8.49998921222594,8.54984487022793,-0.0126945279619175
"182",2005,2,7.9999949894618,8.00200911210012,-0.547835758127816
"183",2005,3,7.99999840740275,7.88558431432793,-0.116424797772186
"184",2005,4,7.99999987059159,8.06254411449084,0.176959800162909
"185",2006,1,7.99999539885261,8.0498510568546,-0.012693057636243
"186",2006,2,8.16663589331582,8.16865001595413,0.118798959099532
"187",2006,3,8.83331133896388,8.71889724588906,0.550247229934932
"188",2006,4,9.66666286726029,9.72920711115954,1.01030986527047
"189",2007,1,9.99999196214051,10.0498476201425,0.32064050898296
"190",2007,2,10.1666325078786,10.1686466305169,0.118799010374445
"191",2007,3,10.8332974023998,10.718883309325,0.550236678808064
"192",2007,4,11.6666408703992,11.7291851142985,1.01030180497345
